"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000243264",118.387654699395,4.48306707343795,1.01869848857826,4.40077915467875,1.07862862822015e-05,0.00169381466061071,NA,NA
"ENSG00000242534",66.2121344404137,9.62049617436199,1.3303359053789,7.23162934674153,4.77233248137061e-13,1.78692485213861e-09,NA,NA
"ENSG00000224607",50.1492424932361,5.38892639173892,0.952606474412998,5.65703313643717,1.54012037518243e-08,5.83093793551943e-06,NA,NA
"ENSG00000211623",3.37223038600347,5.02579249335709,1.32742816183609,3.7861126031901,0.000153022354477589,0.0150506470927103,NA,NA
"ENSG00000241566",20.5129786067959,6.4788051279939,1.32125779269034,4.90351327639234,9.41375770100944e-07,0.000211526370195528,NA,NA
"ENSG00000225523",32.2610161272702,6.70405811882974,1.21315004282356,5.52615742668263,3.27320449505518e-08,1.08993766065464e-05,NA,NA
"ENSG00000211625",283.76940629264,6.10315677635371,0.943661026847979,6.46753082167598,9.96172268931593e-11,8.25705091896267e-08,NA,NA
"ENSG00000242766",22.1737010441414,5.0960419411358,1.27548556832376,3.99537405023956,6.45921895273484e-05,0.00743832889232023,NA,NA
"ENSG00000241244",62.8518289558354,5.55383926271442,1.00346141750864,5.53468141954408,3.11794554993376e-08,1.05089974523255e-05,NA,NA
"ENSG00000224041",163.257890059281,6.27983583102873,0.932527182579163,6.73421209412909,1.64820610241446e-11,2.07183071491393e-08,NA,NA
"ENSG00000240834",248.934672479973,6.25848683693381,1.12881194966156,5.54431306189682,2.9511042514771e-08,1.01953274127905e-05,NA,NA
"ENSG00000211632",45.9668842243303,4.98803910418196,0.976037399088581,5.11049997555398,3.21307353368009e-07,8.07299330216822e-05,NA,NA
"ENSG00000211633",7.98087797357409,5.10769813882878,1.13355179151892,4.50592392605601,6.608476175164e-06,0.00111368941786087,NA,NA
"ENSG00000242580",54.8668440488655,4.44599079395832,1.1345614509421,3.91868663461686,8.9032776102586e-05,0.00980353731443535,NA,NA
"ENSG00000239819",55.7717523010382,6.57588574619522,1.12684922106616,5.83563943006809,5.35846643404128e-09,2.27841992775435e-06,NA,NA
"ENSG00000235896",67.382891258698,7.86667778837445,1.34258404097749,5.85935594962604,4.64665752643483e-09,2.07136001154203e-06,NA,NA
"ENSG00000270999",16.4901378090629,6.58695804730449,1.09950047961111,5.99086418737561,2.08728897131391e-09,1.01207881735393e-06,NA,NA
"ENSG00000228325",18.1568228496367,5.01160121654368,1.20622341591301,4.15478687482642,3.2559088370623e-05,0.0041854329506385,NA,NA
"ENSG00000231331",4.8158688286081,4.90227166457235,1.18771662132013,4.12747584446829,3.66766944349143e-05,0.0046286323323843,NA,NA
"ENSG00000232717",2.95179035202492,-2.82198811216339,0.745662926650643,-3.78453589591634,0.00015399568081342,0.0150926688876642,NA,NA
"ENSG00000115590",190.886552884431,1.80278656855637,0.522672475103217,3.44917066505245,0.000562311185449087,0.0364763597160086,"IL1R2","7850"
"ENSG00000115107.15",1066.33420106864,0.9672347223309,0.273295967867754,3.53914743008188,0.000401421595000575,0.0288168572535738,NA,NA
"ENSG00000176601",7.95658755861166,2.68335042700084,0.677723535383118,3.95935848012706,7.51513611569368e-05,0.00844583310482986,"MAP3K19","80122"
"ENSG00000144339",34.7414065071844,-1.25724097290332,0.361978923783737,-3.47324357938159,0.000514208453294435,0.0338373648384562,"TMEFF2","23671"
"ENSG00000155760",1141.92530935276,0.627641648951364,0.187294400113531,3.35109671496271,0.000804921851077126,0.0454937221269317,"FZD7","8324"
"ENSG00000152049",1505.19711976396,0.834152336045102,0.23326092179814,3.57604835655654,0.000348827154753216,0.025572639000184,"KCNE4","23704"
"ENSG00000163359.11",28719.8885724493,1.04835827027491,0.301992904166509,3.4714665669657,0.00051762378301907,0.0339812021735892,NA,NA
"ENSG00000226321",13.2040827996714,1.49936858121662,0.442984373858328,3.38469858012674,0.000712564553854643,0.0426923054728907,"CROCC2","728763"
"ENSG00000091181.15",28.8976929478954,2.35178615252508,0.667509808541767,3.52322336305852,0.000426331899765662,0.0298302811284136,NA,NA
"ENSG00000163508",275.144697805985,1.97185172288425,0.54616548920879,3.61035576550396,0.000305777303693675,0.0233455058549331,"EOMES","8320"
"ENSG00000183813",154.005562185798,2.08102375971476,0.5956547133608,3.49367462900313,0.000476421280782355,0.0319595421317056,"CCR4","1233"
"ENSG00000173578",48.3980453358854,2.39830712434763,0.598130243048228,4.00967373280647,6.08027031775006e-05,0.00718147483085368,"XCR1","2829"
"ENSG00000121807",337.717971564583,1.66212242868621,0.486408728114359,3.41713117511212,0.000632847791036051,0.0397514710196691,"CCR2","729230"
"ENSG00000160791.12",325.240317237155,1.56976927776416,0.43011358496724,3.64966216513186,0.000262585427307594,0.0213451059997862,NA,NA
"ENSG00000163666",67.5476347578898,-0.993726042395554,0.258941392109162,-3.83764848988156,0.000124218121519804,0.0128102255319565,"HESX1","8820"
"ENSG00000241163",33.7216913337307,2.81347297646684,0.704991265602701,3.99079125336622,6.5853223446058e-05,0.00755208045478071,"LINC00877","285286"
"ENSG00000181847",447.944053539617,2.03857717076626,0.577057838354493,3.5327085696979,0.000411325627050624,0.029224209975386,"TIGIT","201633"
"ENSG00000163710",1123.61476575984,1.78954018089913,0.48221760785113,3.71106353597025,0.000206390288312797,0.0185201778843802,"PCOLCE2","26577"
"ENSG00000168779.15",138.756090550671,2.34917466713037,0.520717233844575,4.51142100634134,6.43947647662278e-06,0.00109820459474716,NA,NA
"ENSG00000172578",1238.20202912086,1.91693462006904,0.491501203143238,3.90016261976552,9.61280979073819e-05,0.0102976293409466,"KLHL6","89857"
"ENSG00000185112",1265.91860626725,0.97681395285072,0.292006535787676,3.34517838861313,0.000822296635638948,0.046098649930607,"FAM43A","131583"
"ENSG00000272927",269.260324848576,-0.90021063500808,0.252280159055563,-3.56829739753658,0.000359308535422802,0.0262020298206211,NA,NA
"ENSG00000002549",4207.29335625868,0.690754485792155,0.198258280358651,3.48411417945608,0.000493768793601147,0.0328838118495145,"LAP3","51056"
"ENSG00000250050",4.47344708943384,3.05486700620568,0.92117382172922,3.3162764009849,0.000912255551951637,0.0494370959702732,NA,NA
"ENSG00000197057",190.088402242788,2.03151187334537,0.562934419513559,3.60878959062556,0.000307628984850766,0.0234108246994647,"DTHD1","401124"
"ENSG00000121895",185.172745591788,3.23776737643329,0.613841443814698,5.27459885457112,1.33046786788906e-07,3.67714709327178e-05,"TMEM156","80008"
"ENSG00000168421",552.426189393977,2.11349706387935,0.481277994152209,4.39142676282625,1.12609267005462e-05,0.00175835871271015,"RHOH","399"
"ENSG00000188848.11",81.3444594504273,3.94619358093763,0.92471249401367,4.26748162967861,1.97692044789161e-05,0.00278765955810349,NA,NA
"ENSG00000197888",5.23692914459964,3.23578688625405,0.972153121085041,3.32847451298877,0.000873229945489245,0.0478028053317829,"UGT2B17","7367"
"ENSG00000132465",8771.40174751,3.34068831020581,0.794554309260639,4.20448076521596,2.61682189894372e-05,0.00351086037101974,"JCHAIN","3512"
